     3.000     2.000     3.000     3.000     0.864     0.466     1.731 51230   1105 115014
     2.000     2.000     2.000     2.000    -0.252     0.429     1.731 51231   1105 115014
     2.000     2.000     2.000     2.000    -0.252     0.429     1.731 51232   1105 115014
     1.000     2.000     2.000     1.000    -0.798     0.406     1.731 51233   1105 115014
     2.000     2.000     2.000     2.000    -0.252     0.429     1.731 51234   1105 115014
     3.000     3.000     3.000     3.000     1.380     0.574     1.731 51235   1105 115014
     2.000     2.000     2.000     2.000    -0.252     0.429     1.731 51236   1105 115014
     1.000     3.000     3.000     2.000     0.204     0.418     1.731 51237   1105 115014
     2.000     3.000     3.000     3.000     0.935     0.492     1.731 51238   1105 115014
     3.000     3.000     3.000     3.000     1.380     0.574     1.731 51239   1105 115014
     2.000     2.000     2.000     2.000    -0.252     0.429     1.731 51240   1105 115014
     2.000     3.000     3.000     1.000     0.108     0.412     0.798 51241   1119 115015
     3.000     2.000     3.000     2.000     0.452     0.428     0.798 51242   1119 115015
     2.000     2.000     3.000     2.000     0.161     0.426     0.798 51243   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51244   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51245   1119 115015
     2.000     1.000     2.000     2.000    -0.556     0.417     0.798 51246   1119 115015
     3.000     3.000     2.000     3.000     0.731     0.439     0.798 51247   1119 115015
     2.000     2.000     2.000     3.000     0.110     0.426     0.798 51248   1119 115015
     2.000     1.000     3.000     3.000     0.185     0.419     0.798 51249   1119 115015
     2.000     2.000     3.000     3.000     0.538     0.445     0.798 51250   1119 115015
     0.000     0.000     0.000     0.000    -2.465     0.491     0.798 51251   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51252   1119 115015
     2.000     2.000     2.000     3.000     0.110     0.426     0.798 51253   1119 115015
     2.000     2.000     2.000     1.000    -0.581     0.415     0.798 51254   1119 115015
     2.000     2.000     2.000     3.000     0.110     0.426     0.798 51255   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51256   1119 115015
     2.000     3.000     2.000     2.000     0.067     0.425     0.798 51257   1119 115015
     3.000     1.000     3.000     3.000     0.471     0.428     0.798 51258   1119 115015
     3.000     3.000     3.000     3.000     1.380     0.574     0.798 51259   1119 115015
     2.000     2.000     3.000     3.000     0.538     0.445     0.798 51260   1119 115015
     2.000     2.000     3.000     3.000     0.538     0.445     0.798 51262   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51263   1119 115015
     1.000     0.000     2.000     3.000    -0.648     0.402     0.798 51264   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51265   1119 115015
     3.000     3.000     3.000     3.000     1.380     0.574     0.798 51266   1119 115015
     3.000     3.000     2.000     2.000     0.355     0.421     0.798 51267   1119 115015
     3.000     2.000     3.000     3.000     0.864     0.466     0.798 51268   1119 115015
     2.000     1.000     0.000     2.000    -1.191     0.403     0.798 51269   1119 115015
     2.000     2.000     2.000     3.000     0.110     0.426     0.798 51270   1119 115015
     3.000     2.000     3.000     3.000     0.864     0.466     0.798 51271   1119 115015
     3.000     1.000     3.000     3.000     0.471     0.428     0.798 51272   1119 115015
     1.000     1.000     2.000     2.000    -0.777     0.408     0.798 51273   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51274   1119 115015
     3.000     2.000     2.000     3.000     0.400     0.424     0.798 51275   1119 115015
     3.000     2.000     3.000     3.000     0.864     0.466     0.798 51276   1119 115015
     2.000     2.000     2.000     2.000    -0.252     0.429     0.798 51277   1119 115015
     3.000     2.000     3.000     3.000     0.864     0.466     6.665 51278   1172 115016
     2.000     2.000     2.000     2.000    -0.252     0.429     6.665 51279   1172 115016
     2.000     2.000     2.000     2.000    -0.252     0.429     6.665 51280   1172 115016
     2.000     3.000     3.000     3.000     0.935     0.492     6.665 51281   1172 115016
     3.000     2.000     3.000     3.000     0.864     0.466     6.665 51282   1172 115016
     2.000     2.000     3.000     3.000     0.538     0.445     6.665 51283   1172 115016
     3.000     3.000     3.000     3.000     1.380     0.574     6.665 51284   1172 115016
     2.000     2.000     3.000     3.000     0.538     0.445     6.665 51285   1172 115016
     3.000     3.000     3.000     3.000     1.380     0.574     6.665 51286   1172 115016
     2.000     2.000     3.000     3.000     0.538     0.445     6.665 51287   1172 115016
     2.000     3.000     3.000     3.000     0.935     0.492     6.665 51288   1172 115016
     1.000     2.000     3.000     3.000     0.247     0.421     6.665 51289   1172 115016
     2.000     2.000     2.000     0.000    -0.827     0.416     6.665 51290   1172 115016
     2.000     2.000     2.000     3.000     0.110     0.426     6.665 51291   1172 115016
